pitch_type,release_speed,release_pos_x,release_pos_z,player_name,zone,p_throws,bb_type,game_year,pfx_x,pfx_z,plate_x,plate_z,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,release_pos_y,height,weight,age,weight_(oz),circumference_(in),avg_seam_height,avg_ccor,avg_ds
FT,97.1,-2.5936,6.1292,Bryce Harper,5.0,R,fly_ball,2017,-1.2287,0.9704,-0.0518,2.4982,9.5667,-140.736,-6.3209,-18.5168,33.0181,-18.0621,3.865,1.601,424.0,109.3,26.505,96.66,2109.0,6.324,54.1727,75,220,25,5.104863,9.08,0.038,0.476463,12926.0
FF,95.9,-1.4705,5.8152,Bryce Harper,5.0,R,fly_ball,2015,-0.811916667,1.5975,0.03,2.31,5.16,-139.4,-6.85,-9.59,33.05,-13.02,3.19,1.46,411.0,109.1,36.128,93.21700000000001,2365.0,5.045,55.4539,75,220,25,5.120124999999999,9.107916666666666,0.040501666666666665,0.4913333333333332,12740.875
FT,94.5,-2.8015,5.9674,Bryce Harper,5.0,R,fly_ball,2017,-1.082,0.6940000000000001,0.0717,2.2506,9.9226,-137.1394,-5.5872,-15.8331,27.37,-22.3579,3.17,1.49,451.0,109.0,21.574,95.09299999999999,2301.0,6.56,53.9404,75,220,25,5.104863,9.08,0.038,0.476463,12926.0
FF,92.8,-2.0915,6.3196,Bryce Harper,5.0,R,line_drive,2017,-0.7655,1.8351,-0.0264,2.3453,6.9272,-134.57,-8.3128,-10.7968,29.2178,-8.3081,2.9392,1.2418,404.0,108.9,21.829,92.55,2241.0,6.324,54.1732,75,220,25,5.104863,9.08,0.038,0.476463,12926.0
SL,88.0,-2.3375,6.3747,Bryce Harper,4.0,R,fly_ball,2015,0.091275,0.5354,-0.313,2.388,3.083,-128.023,-3.7939999999999996,2.682,22.421999999999997,-28.147,3.19,1.48,445.0,108.6,26.421,87.383,2346.0,5.718,54.7831,75,220,25,5.120124999999999,9.107916666666666,0.040501666666666665,0.4913333333333332,12740.875
FT,91.4,-2.1549,5.0292,Bryce Harper,8.0,R,line_drive,2016,-1.360233333,0.9912,-0.065,1.88,7.6110000000000015,-132.928,-4.293,-15.965,26.04,-22.13300000000001,3.15,1.49,425.0,108.1,23.320999999999998,91.906,2204.0,6.1770000000000005,54.3253,75,220,25,5.122499999999999,9.079,0.03843200000000002,0.4941000000000001,12926.4
FT,95.9,-2.2583,6.3081,Bryce Harper,5.0,R,fly_ball,2017,-1.2968,1.199,0.2661,2.5771,9.3943,-138.6357,-6.6862,-18.6343,34.5309,-15.7096,3.2,1.56,418.0,107.9,20.195999999999998,94.087,2346.0,5.843999999999999,54.6552,75,220,25,5.104863,9.08,0.038,0.476463,12926.0
FF,93.7,1.8151,6.2667,Bryce Harper,12.0,L,line_drive,2016,0.916533333,1.1288,0.544,3.278,-5.882999999999999,-136.194,-4.067,13.975999999999999,32.722,-20.044,3.11,1.53,400.0,107.8,21.572,92.124,2514.0,5.465,55.0373,75,220,25,5.122499999999999,9.079,0.03843200000000002,0.4941000000000001,12926.4
KC,80.9,-1.693,5.9193,Bryce Harper,5.0,R,fly_ball,2016,0.784325,-0.36903333299999996,0.11199999999999999,2.119,1.702,-117.745,-0.634,9.139,24.361,-37.619,3.13,1.52,434.0,107.5,29.269000000000002,78.587,2553.0,4.734,55.7682,75,220,25,5.122499999999999,9.079,0.03843200000000002,0.4941000000000001,12926.4
FF,90.5,-2.5489,6.3301,Bryce Harper,8.0,R,line_drive,2016,-0.10216666699999999,1.3337666670000001,-0.24100000000000002,1.929,5.197,-131.614,-7.385,0.361,26.107,-18.136,3.09,1.54,429.0,107.3,23.823,91.35700000000001,2241.0,6.561,53.9408,75,220,25,5.122499999999999,9.079,0.03843200000000002,0.4941000000000001,12926.4
